"time","sds.I[1]","i_iss.to_SDS[1]","o_iss.to_SDS[1]","tep_fep.to_SDS[1]","tes.to_O_ISS[1]","tes.to_O_ISS[2]","tes.to_O_ISS[3]","wds.outflow[1]","wds.outflow[2]","wds.outflow[3]","wds.to_O_ISS[1]","wds.to_O_ISS[2]","wds.to_O_ISS[3]"
0,3000,0,0,0,0,0,0,0,0,0,0,0,0
1.208062546643608,2613.000803497299,0,0,0,0,0,0,0,0,0,0,0,0
1.208062546643608,2613.000803497299,0,0,0,0,0,0,0,0,0,0,0,0
3.161938424671097,2248.588530851079,0,0,155.2905022012753,0,0,0,0,0,0,0,0,0
3.161938424671097,2248.588530851079,8.600121115418891e-09,0,155.2905022012753,0,0,0,0,0,0,0,0,0
9.000000001100119,1711.985522976246,118.9337037536068,0,155.2945159744296,0,0,0,0,0,0,0,0,0
9.000000001100119,1711.985522976246,118.9337037536068,0,155.2945159744296,0,0,0,0,0,0,0,0,0
10,1873.955961573695,116.4757932257811,0,1.040352722394502,0,0,0,0,0,0,0,0,0
10.00000000200012,1873.955961808717,116.4757931917623,0,1.040352710229761,0,0,0,0,0,0,0,0,0
10.00000000200012,1873.955961808717,116.4757931917623,0,1.040352710229761,0,0,0,0,0,0,0,0,0
19.00000000410023,1508.619837836806,147.7191190845392,0,155.2945213176855,0,0,0,0,0,0,0,0,0
19.00000000410023,1508.619837836806,147.7191190845392,0,155.2945213176855,0,0,0,0,0,0,0,0,0
20,1696.060350748957,138.8931705145775,0,1.040314414087636,0,0,0,0,0,0,0,0,0
20.000000003,1696.060351168725,138.8931704467371,0,1.040314395841632,0,0,0,0,0,0,0,0,0
20.000000003,1696.060351168725,138.8931704467371,0,1.040314395841632,0,0,0,0,0,0,0,0,0
29.00000000610021,1410.941791582089,150.0812035167788,0,155.2945176145623,0,0,0,0,0,0,0,0,0
29.00000000610021,1410.941791582089,150.0812035167788,0,155.2945176145623,0,0,0,0,0,0,0,0,0
30,1600.472862210466,140.7327044158903,0,1.040282693869255,0,0,0,0,0,0,0,0,0
30.00000000400046,1600.472862777582,140.7327043235861,0,1.040282669538065,0,0,0,0,0,0,0,0,0
30.00000000400046,1600.472862777582,140.7327043235861,0,1.040282669538065,0,0,0,0,0,0,0,0,0
39.00000000810057,1321.940604064166,150.2752243814579,0,155.2945168509859,0,0,0,0,0,0,0,0,0
39.00000000810057,1321.940604064166,150.2752243814579,0,155.2945168509859,0,0,0,0,0,0,0,0,0
40,1511.643935990075,140.883799939439,0,1.040162367449055,0,0,0,0,0,0,0,0,0
40.0000000050001,1511.643936699661,140.8837998238807,0,1.040162337036246,0,0,0,0,0,0,0,0,0
40.0000000050001,1511.643936699661,140.8837998238807,0,1.040162337036246,0,0,0,0,0,0,0,0,0
40.35221814601164,1467.281516575176,132.4161825834428,0,114.4844931255964,0,0,0,0,0,0,0,0,0
40.35221814601164,1467.281516575176,132.4161825834428,0,114.4844931255964,3.166754821967326e-09,0,0,0,0,0,0,0,0
49.00000001010034,1233.657639086718,150.2910756999029,0,155.2945173176711,3.929305553829038,0,0,0,0,0,0,0,0
49.00000001010034,1233.657639086718,150.2910756999029,0,155.2945173176711,3.929305553829038,0,0,0,0,0,0,0,0
50,1423.375535743975,140.8961524321381,0,1.040282901975695,4.243242100024384,0,0,0,0,0,0,0,0
50.00000000600025,1423.375536595573,140.8961522934469,0,1.040282865486294,4.24324210175258,0,0,0,0,0,0,0,0
50.00000000600025,1423.375536595573,140.8961522934469,0,1.040282865486294,4.24324210175258,0,0,0,0,0,0,0,0
59.00000001210091,1145.438826498555,150.2923015995438,0,155.2945172717629,6.310322182897824,0,0,0,0,0,0,0,0
59.00000001210091,1145.438826498555,150.2923015995438,0,155.2945172717629,6.310322182897824,0,0,0,0,0,0,0,0
60,1335.158359827723,140.8971081666798,0,1.040340250099519,6.470447759516811,0,0,0,0,0,0,0,0
