"time","sds.I[1]","i_iss.to_SDS[1]","o_iss.to_SDS[1]","tep_fep.to_SDS[1]","tes.to_O_ISS[1]","tes.to_O_ISS[2]","tes.to_O_ISS[3]","wds.outflow[1]","wds.outflow[2]","wds.outflow[3]","wds.to_O_ISS[1]","wds.to_O_ISS[2]","wds.to_O_ISS[3]"
0,3000,0,0,0,0,0,0,0,0,0,0,0,0
1.208062546643595,2613.000803497303,0,0,0,0,0,0,0,0,0,0,0,0
1.208062546643595,2613.000803497303,0,0,0,0,0,0,0,0,0,0,0,0
3.161938110809721,2248.588601701711,0,0,155.2903912086616,0,0,0,0,0,0,0,0,0
3.161938110809721,2248.588601701711,8.599796515752082e-09,0,155.2903912086616,0,0,0,0,0,0,0,0,0
9.000000001100062,1711.985102195157,118.9338092902463,0,155.2945159509612,0,0,0,0,0,0,0,0,0
9.000000001100062,1711.985102195157,118.9338092902463,0,155.2945159509612,0,0,0,0,0,0,0,0,0
10,1873.955645707613,116.4758730435319,0,1.040297774099672,0,0,0,0,0,0,0,0,0
10.00000000200003,1873.955645942625,116.4758730095145,0,1.040297761935365,0,0,0,0,0,0,0,0,0
10.00000000200003,1873.955645942625,116.4758730095145,0,1.040297761935365,0,0,0,0,0,0,0,0,0
19.00000000410024,1508.619157330571,147.7192770861728,0,155.2945174237265,0,0,0,0,0,0,0,0,0
19.00000000410024,1508.619157330571,147.7192770861728,0,155.2945174237265,0,0,0,0,0,0,0,0,0
20,1696.059811189921,138.893302627691,0,1.040338686168079,0,0,0,0,0,0,0,0,0
20.00000000300022,1696.059811609719,138.8933025598457,0,1.040338667920398,0,0,0,0,0,0,0,0,0
20.00000000300022,1696.059811609719,138.8933025598457,0,1.040338667920398,0,0,0,0,0,0,0,0,0
29.00000000610022,1410.940999027608,150.0813938561038,0,155.2945174378178,0,0,0,0,0,0,0,0,0
29.00000000610022,1410.940999027608,150.0813938561038,0,155.2945174378178,0,0,0,0,0,0,0,0,0
30,1600.472232790379,140.7328604135386,0,1.040317220831064,0,0,0,0,0,0,0,0,0
30.00000000400012,1600.472233357447,140.7328603212422,0,1.040317196503443,0,0,0,0,0,0,0,0,0
30.00000000400012,1600.472233357447,140.7328603212422,0,1.040317196503443,0,0,0,0,0,0,0,0,0
39.00000000810029,1321.940556389108,150.2752287119444,0,155.2945167881433,0,0,0,0,0,0,0,0,0
39.00000000810029,1321.940556389108,150.2752287119444,0,155.2945167881433,0,0,0,0,0,0,0,0,0
40,1511.643903941412,140.8838096489627,0,1.040109689696976,0,0,0,0,0,0,0,0,0
40.00000000500051,1511.643904651055,140.883809533395,0,1.040109659285967,0,0,0,0,0,0,0,0,0
40.00000000500051,1511.643904651055,140.883809533395,0,1.040109659285967,0,0,0,0,0,0,0,0,0
40.35221818244844,1467.281455336467,132.4161909281375,0,114.4847326766197,0,0,0,0,0,0,0,0,0
40.35221818244844,1467.281455336467,132.4161909281375,0,114.4847326766197,3.166825136092247e-09,0,0,0,0,0,0,0,0
49.00000001010115,1238.406176629658,150.2911310261507,1.545203932211804,155.294517252574,3.929305646709915,0,0,0,0,0,0,0,0
49.00000001010115,1238.406176629658,150.2911310261507,1.545203932211804,155.294517252574,3.929305646709915,0,0,0,0,0,0,0,0
50,1429.815010851396,140.8961917913116,1.837461691341665,1.040151505352082,4.243242185866938,0,0,0,0,0,0,0,0
50.00000000600053,1429.81501171406,140.8961916526139,1.837461693108125,1.040151468857873,4.243242187595212,0,0,0,0,0,0,0,0
50.00000000600053,1429.81501171406,140.8961916526139,1.837461693108125,1.040151468857873,4.243242187595212,0,0,0,0,0,0,0,0
59.00000001210155,1179.896879038922,150.2922982955843,4.304739537696128,155.2945172623108,6.310322222216356,0,0,0,0,0,0,0,0
59.00000001210155,1179.896879038922,150.2922982955843,4.304739537696128,155.2945172623108,6.310322222216356,0,0,0,0,0,0,0,0
60,1374.040398126072,140.8971025342943,4.542164518732181,1.040268448888461,6.470447796028718,0,0,0,0,0,0,0,0
60.00000000700088,1374.040399151495,140.8971023724725,4.542164520361202,1.040268406308322,6.470447797008445,0,0,0,0,0,0,0,0
60.00000000700088,1374.040399151495,140.8971023724725,4.542164520361202,1.040268406308322,6.470447797008445,0,0,0,0,0,0,0,0
69.0000000141018,1145.127670346036,150.2924599042063,6.227719381024374,155.294515329913,7.564732796837024,0,0,0,0,0,0,0,0
69.0000000141018,1145.127670346036,150.2924599042063,6.227719381024374,155.294515329913,7.564732796837024,0,0,0,0,0,0,0,0
70,1341.149208006976,140.897224132485,6.374834643186024,1.040217849988018,7.650902760731607,0,0,0,0,0,0,0,0
70.00000000800064,1341.149209193501,140.8972239475537,6.374834644333807,1.040217801322567,7.650902761280197,0,0,0,0,0,0,0,0
70.00000000800064,1341.149209193501,140.8972239475537,6.374834644333807,1.040217801322567,7.650902761280197,0,0,0,0,0,0,0,0
79.00000001610152,1125.465397572685,150.2923929991532,7.376498206820123,155.2945172334873,8.266333471265392,0,0,0,0,0,0,0,0
79.00000001610152,1125.465397572685,150.2923929991532,7.376498206820123,155.2945172334873,8.266333471265392,0,0,0,0,0,0,0,0
80,1322.605438391458,140.8971745166026,7.463460471047191,1.040245083445292,8.314987819339311,0,0,0,0,0,0,0,0
80.00000000900116,1322.605439736162,140.8971743085451,7.463460471810894,1.040245028699475,8.314987819629652,0,0,0,0,0,0,0,0
80.00000000900116,1322.605439736162,140.8971743085451,7.463460471810894,1.040245028699475,8.314987819629652,0,0,0,0,0,0,0,0
89.00000001810218,1114.687275426819,150.2923866146803,8.047940904847017,155.2945172285818,8.680888316686451,0,0,0,0,0,0,0,0
89.00000001810218,1114.687275426819,150.2923866146803,8.047940904847017,155.2945172285818,8.680888316686451,0,0,0,0,0,0,0,0
90,1312.481322467684,140.8971737170205,8.100280724824081,1.040344484185041,8.709346672258928,0,0,0,0,0,0,0,0
90.00000001000001,1312.481323967979,140.8971734858749,8.100280725336152,1.040344423363329,8.709346672385401,0,0,0,0,0,0,0,0
90.00000001000001,1312.481323967979,140.8971734858749,8.100280725336152,1.040344423363329,8.709346672385401,0,0,0,0,0,0,0,0
99.0000000201009,1109.14026611715,150.2923852741322,8.448427975129865,155.2945172242771,8.937177559825743,0,0,0,0,0,0,0,0
99.0000000201009,1109.14026611715,150.2923852741322,8.448427975129865,155.2945172242771,8.937177559825743,0,0,0,0,0,0,0,0
100,1307.325000369847,140.8971692035709,8.481254182624495,1.040266727283785,8.954105637757602,0,0,0,0,0,0,0,0
100.0000000110003,1307.325002024398,140.8971689493051,8.481254182979145,1.040266660378082,8.954105637773237,0,0,0,0,0,0,0,0
100.0000000110003,1307.325002024398,140.8971689493051,8.481254182979145,1.040266660378082,8.954105637773237,0,0,0,0,0,0,0,0
109.0000000221013,1106.758803006291,150.2923845422943,8.695110915912155,155.2945172206085,9.101120665940524,0,0,0,0,0,0,0,0
109.0000000221013,1106.758803006291,150.2923845422943,8.695110915912155,155.2945172206085,9.101120665940524,0,0,0,0,0,0,0,0
110,1305.184562416342,140.8971681424094,8.71668713703302,1.040248632457962,9.111115742113888,0,0,0,0,0,0,0,0
110.0000000120003,1305.18456422414,140.8971678650275,8.716687137288472,1.040248559470276,9.111115742049757,0,0,0,0,0,0,0,0
110.0000000120003,1305.18456422414,140.8971678650275,8.716687137288472,1.040248559470276,9.111115742049757,0,0,0,0,0,0,0,0
119.0000000241015,1106.355822198386,150.292384741184,8.851814987735988,155.2945172225734,9.208539201238448,0,0,0,0,0,0,0,0
119.0000000241015,1106.355822198386,150.292384741184,8.851814987735988,155.2945172225734,9.208539201238448,0,0,0,0,0,0,0,0
120,1304.934893643522,140.8971684611942,8.866659795560624,1.040251371576146,9.214189879153114,0,0,0,0,0,0,0,0
120.0000000130013,1304.934895604066,140.8971681606747,8.86665979575201,1.040251292500196,9.214189879028401,0,0,0,0,0,0,0,0
120.0000000130013,1304.934895604066,140.8971681606747,8.86665979575201,1.040251292500196,9.214189879028401,0,0,0,0,0,0,0,0
129.0000000261025,1107.224719220372,150.2923849949956,8.953834518602873,155.2945172243069,9.280062510618992,0,0,0,0,0,0,0,0
129.0000000261025,1107.224719220372,150.2923849949956,8.953834518602873,155.2945172243069,9.280062510618992,0,0,0,0,0,0,0,0
130,1305.903719401942,140.8971641711611,8.964498670925211,1.040180026554436,9.282907186218665,0,0,0,0,0,0,0,0
130.0000000140009,1305.903721514594,140.8971638475358,8.964498671074113,1.040179941393348,9.282907186045909,0,0,0,0,0,0,0,0
130.0000000140009,1305.903721514594,140.8971638475358,8.964498671074113,1.040179941393348,9.282907186045909,0,0,0,0,0,0,0,0
139.0000000281025,1108.928852953774,150.2923852339792,9.021435318592152,155.2945172258488,9.328184114807531,0,0,0,0,0,0,0,0
139.0000000281025,1108.928852953774,150.2923852339792,9.021435318592152,155.2945172258488,9.328184114807531,0,0,0,0,0,0,0,0
