time,i_iss.to_SDS[1],i_iss.to_SDS[2],i_iss.to_SDS[3],i_iss.to_SDS[4],i_iss.to_SDS[5],i_iss.to_WDS[1],i_iss.to_WDS[2],i_iss.to_WDS[3],i_iss.to_WDS[4],i_iss.to_WDS[5]
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1.208062546643624,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
2.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
3.161938424692523,8.599247560339331e-09,5.740898241854672e-09,1.1612761947711308e-10,5.437776324700653e-10,0,8.599247646331805e-17,5.740898299263655e-17,1.161276206383894e-18,5.437776379078417e-18,0
3.5,12.15021301060973,8.111551101126958,0.1640804908327012,0.7683211043270973,0,1.215021313211187e-07,8.11155118224247e-08,1.640804924735062e-09,7.683211120103086e-09,0
4.0,28.69009130310883,19.15370603476714,0.3874387215081477,1.814215357703523,0,2.869009159000974e-07,1.91537062263042e-07,3.87438725382535e-09,1.814215375845677e-08,0
4.5,43.46068707215851,29.01471388846884,0.586902976547874,2.748224001437792,0,4.346068750676539e-07,2.901471417861598e-07,5.8690298241690395e-09,2.7482240289200333e-08,0
5.0,56.55961059901274,37.75973019231233,0.7637921270685716,3.57652276372098,0,5.655961116460886e-07,3.775973056990964e-07,7.63792134706493e-09,3.5765227994862086e-08,0
5.5,68.14279994377044,45.49285229068646,0.9202125097869914,4.308974748594807,0,6.814280062519845e-07,4.5492852745615e-07,9.202125189891168e-09,4.3089747916845554e-08,0
6.0,78.37343755192155,52.32301557325735,1.058368125263582,4.955900379504784,0,7.837343833565595e-07,5.232301609648752e-07,1.058368135847264e-08,4.95590042906379e-08,0
6.5,87.40497767386587,58.35266217593361,1.180331457828159,5.527004243759879,0,8.740497854791567e-07,5.835266275946023e-07,1.1803314696314741e-08,5.5270042990299225e-08,0
7.0,95.37635214087642,63.67454005566028,1.287978764387811,6.031072076772885,0,9.537635309463996e-07,6.36745406924057e-07,1.2879787772675993e-08,6.031072137083606e-08,0
7.5,102.4114112808122,68.37132951999327,1.382982557452153,6.475935563175317,0,1.024114123049263e-06,6.837133020370658e-07,1.3829825712819792e-08,6.475935627934674e-08,0
8.0,108.6198649864442,72.51627132001711,1.46682434116888,6.868531974406619,0,1.086198660726429e-06,7.251627204517983e-07,1.4668243558371232e-08,6.86853204309194e-08,0
8.5,114.0987107945267,76.17411990182059,1.54081391929128,7.214994579943687,0,1.140987119355138e-06,7.61741206635618e-07,1.540813934699419e-08,7.214994652093635e-08,0
9.0,118.9337037434344,79.40212457766887,1.60610926090679,7.520745670294796,0,1.189337049327714e-06,7.940212537169013e-07,1.606109276967883e-08,7.520745745502256e-08,0
9.000000001100046,118.9337037534208,79.40212458433618,1.606109261041655,7.520745670926313,0,1.189337049427579e-06,7.940212537835745e-07,1.606109277102747e-08,7.520745746133772e-08,0
9.5,121.6610998048179,81.22307946734666,1.642947595812766,7.693244362935769,0,1.216611010214289e-06,8.122308027957747e-07,1.642947612242243e-08,7.693244439868214e-08,0
10.0,116.4757932256347,77.76144488863441,1.572943066104425,7.365442091620934,0,1.164757943903927e-06,7.776144566624887e-07,1.572943081833855e-08,7.365442165275356e-08,0
10.00000000200012,116.4757931916159,77.76144486592358,1.572943065645108,7.365442089470146,0,1.164757943563738e-06,7.776144564353804e-07,1.5729430813745392e-08,7.365442163124569e-08,0
10.5,107.9359372765801,72.06025980971702,1.457633698044217,6.825495992254313,0,1.079359383559395e-06,7.206026053031964e-07,1.4576337126205541e-08,6.825496060509274e-08,0
11.0,105.7255184092203,70.58465159102371,1.42778321028528,6.685718498883494,0,1.057255194664755e-06,7.058465229687024e-07,1.427783224563112e-08,6.685718565740679e-08,0
11.5,108.430435291618,72.39056514507763,1.464306633346599,6.856742589546962,0,1.084304363759223e-06,7.239056586898329e-07,1.4643066479896653e-08,6.85674265811439e-08,0
12.0,112.7712391688988,75.28860865989014,1.522922555868033,7.131216721689454,0,1.127712402966112e-06,7.528860941277624e-07,1.522922571097259e-08,7.131216793001623e-08,0
12.5,117.334663535819,78.335270598957,1.584546419342125,7.419775797768723,0,1.173346647091656e-06,7.833527138230972e-07,1.58454643518759e-08,7.419775871966482e-08,0
13.0,121.6320831337332,81.20433997931254,1.642579343387998,7.691519989073692,0,1.216320843500541e-06,8.120434079135595e-07,1.6425793598137922e-08,7.691520065988894e-08,0
13.5,125.5239538895992,83.80265635286624,1.695136507267462,7.937623459311013,0,1.255239551448387e-06,8.380265719089282e-07,1.695136524218827e-08,7.937623538687249e-08,0
14.0,128.9950695315031,86.12006849004703,1.742012294259129,8.157123390380587,0,1.289950708214538e-06,8.612006935124774e-07,1.7420123116792522e-08,8.157123471951822e-08,0
14.5,132.0717444695123,88.17414467799664,1.783561885837177,8.351682950286678,0,1.320717457902298e-06,8.81741455597381e-07,1.783561903672797e-08,8.351683033803508e-08,0
15.0,134.7917864782653,89.99012614786025,1.820295729045014,8.523692351504284,0,1.347917878261832e-06,8.999012704776153e-07,1.8202957472479723e-08,8.52369243674121e-08,0
15.5,137.1940024495699,91.59392102873193,1.852737795777828,8.675605137797836,0,1.371940038215099e-06,9.159392194467114e-07,1.852737814305207e-08,8.675605224553889e-08,0
16.0,139.3145883514871,93.00969428061212,1.881376818896454,8.809709843102421,0,1.39314589744633e-06,9.300969521070908e-07,1.8813768377102232e-08,8.809709931199524e-08,0
